,Category,Resume,tokenized
0,6,skill program languag python panda numpi scipi scikit learn matplotlib sql java javascript jqueri machin learn regress svm na bay knn random forest decis tree boost techniqu cluster analysi word embed sentiment analysi natur languag process dimension reduct topic model lda nmf pca neural net databas visual mysql sqlserver cassandra hbase elasticsearch js dc js plotli kibana matplotlib ggplot tableau other regular express html css angular logstash kafka python flask git docker comput vision open cv understand deep learn educ detail data scienc assur associ data scienc assur associ ernst young llp skill detail javascript exprienc month jqueri exprienc month python exprienc monthscompani detail compani ernst young llp descript fraud investig disput servic assur technolog assist review tar technolog assist review assist eler review process run analyt gener report core member team help develop autom review platform tool scratch assist discoveri domain tool implement predict code topic model autom review result reduc labor cost time spent lawyer review understand end end flow solut research develop classif model predict analysi mine inform present text data work analyz output precis monitor entir tool tar assist predict code topic model evid follow ey standard develop classifi model order identifi red flag fraud relat issu tool technolog python scikit learn tfidf word vec doc vec cosin similar na bay lda nmf topic model vader text blob sentiment analysi matplot lib tableau dashboard report multipl data scienc analyt project usa client text analyt motor vehicl custom review data receiv custom feedback survey data past one year perform sentiment posit neg neutral time seri analysi custom comment across categori creat heat map term survey categori base frequenc word extract posit neg word across survey categori plot word cloud creat custom tableau dashboard effect report visual chatbot develop user friendli chatbot one product handl simpl question hour oper reserv option chat bot serv entir product relat question give overview tool via qa platform also give recommend respons user question build chain relev answer intellig build pipelin question per user requir ask relev recommend question tool technolog python natur languag process nltk spaci topic model sentiment analysi word embed scikit learn javascript jqueri sqlserver inform govern organ make inform decis inform store integr inform govern portfolio synthes intellig across unstructur data sourc facilit action ensur organ best posit counter inform risk scan data multipl sourc format pars differ file format extract meta data inform push result index elast search creat custom interact dashboard use kibana preform rot analysi data give inform data help identifi content either redund outdat trivial preform full text search analysi elast search predefin method tag pii person identifi inform social secur number address name etc frequent target cyber attack tool technolog python flask elast search kibana fraud analyt platform fraud analyt investig platform review red flag case fap fraud analyt investig platform inbuilt case manag suit analyt variou erp system use client interrog ount system identifi anomali indic fraud run advanc analyt tool technolog html javascript sqlserver jqueri css bootstrap node js js dc js,"  (0, 1495)	0.024570713575492127
  (0, 1481)	0.017649917297132167
  (0, 1480)	0.13142661536598263
  (0, 1454)	0.07919568652578296
  (0, 1451)	0.06237112008554525
  (0, 1444)	0.04852407474989779
  (0, 1437)	0.06925417135711619
  (0, 1435)	0.029289187505086037
  (0, 1428)	0.06616633442920927
  (0, 1427)	0.042614994146885174
